track_id,track_name,artist_name,album_name,release_year,popularity,added_at,days_since_added,play_recency_days,playlist_count,artist_track_count,image_url,label,collection_type,removal_action,swiped_at
4W8QlyNrOorTaOoJn7gIrp,On Sight,Rob49,On Sight,2024,,2025-08-16T01:51:27+00:00,351,,0,1,https://i.scdn.co/image/ab67616d0000b27328a996ed7bb9c4ae5e925cc3,0,,,
2tC6dm3WkOKYcgS2nZybmg,18HUNNA (feat. Dave),"Headie One, Dave",Music x Road,2019,,2024-02-07T06:46:27+00:00,907,,0,19,https://i.scdn.co/image/ab67616d0000b27388a07cd6eea28c5e293f61cf,1,,,
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,CJ,Whoopty,2020,,2024-10-09T00:22:12+00:00,662,,0,1,https://i.scdn.co/image/ab67616d0000b2738d832ba55139c1c84bf67ecc,0,,,
7ofgPlilLgcw6G7fd2zNpT,BeFoUr,ZAYN,Mind Of Mine (Deluxe Edition),2016,,2022-07-28T21:42:55+00:00,1466,,0,28,https://i.scdn.co/image/ab67616d0000b273b4c42ba7470503094d5a1c5a,1,,,
1ca2jDAcDOT79MYLRoaciZ,I'M TRYNA,Pozer,I'M TRYNA,2024,,2024-12-04T18:14:46+00:00,606,,0,1,https://i.scdn.co/image/ab67616d0000b273ca069cc6271ec540fbe37bda,0,,,
4U8LL5xnu6ArpFPuFti3Yx,الملاك البرئ,Amr Diab,عودوني,1988,,2026-06-18T04:05:47+00:00,45,6.0,0,6,https://i.scdn.co/image/ab67616d0000b27352e6f651d4babc7ecc1f5857,1,,,
2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,Drake,Certified Lover Boy,2021,,2021-09-05T03:47:01+00:00,1792,,1,46,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,1,,,
0FWAIRd9Uz5uNek7cALYNC,Psycho,Dave,PSYCHODRAMA,2019,,2022-01-25T20:18:53+00:00,1650,,1,25,https://i.scdn.co/image/ab67616d0000b273c1c8d2889455db6d03d309ed,1,,,
0LU6Oq9qQmsEBsykpikZbW,Labbayk Allah Hummah Labbayk,El Azhar,"Muslims , El Muslimeen",2019,,2022-10-14T00:52:23+00:00,1388,,0,1,https://i.scdn.co/image/ab67616d0000b273e29fe21fd7e5709aa34ef5c7,0,,,
7KVPsVMOK3NL7subwJ0dZj,Who You Foolin,Gunna,Drip or Drown 2,2019,,2023-11-29T02:25:19+00:00,977,,1,4,https://i.scdn.co/image/ab67616d0000b2732bc7a1fb98d177aa0c948bdc,0,,,
